order_id,day,shipping_wave,sku_id,quantity
ORD_00001,6,Afternoon,SKU_108,772
ORD_00001,6,Afternoon,SKU_376,302
ORD_00001,6,Afternoon,SKU_015,510
ORD_00001,6,Afternoon,SKU_010,231
ORD_00001,6,Afternoon,SKU_473,227
ORD_00002,22,Morning,SKU_192,371
ORD_00002,22,Morning,SKU_156,608
ORD_00002,22,Morning,SKU_452,404
ORD_00002,22,Morning,SKU_321,530
ORD_00002,22,Morning,SKU_100,338
ORD_00003,1,Morning,SKU_108,714
ORD_00003,1,Morning,SKU_376,240
ORD_00003,1,Morning,SKU_388,758
ORD_00003,1,Morning,SKU_079,675
ORD_00004,16,Morning,SKU_008,364
ORD_00004,16,Morning,SKU_162,688
ORD_00004,16,Morning,SKU_318,735
ORD_00005,10,Morning,SKU_192,499
ORD_00006,24,Morning,SKU_153,115
ORD_00006,24,Morning,SKU_382,70
ORD_00006,24,Morning,SKU_459,490
ORD_00006,24,Morning,SKU_248,693
ORD_00006,24,Morning,SKU_009,231
ORD_00007,18,Afternoon,SKU_310,126
ORD_00007,18,Afternoon,SKU_001,558
ORD_00007,18,Afternoon,SKU_329,444
ORD_00008,12,Morning,SKU_403,446
ORD_00008,12,Morning,SKU_442,443
ORD_00008,12,Morning,SKU_270,893
ORD_00008,12,Morning,SKU_250,404
ORD_00008,12,Morning,SKU_093,217
ORD_00009,14,Morning,SKU_090,704
ORD_00009,14,Morning,SKU_055,279
ORD_00009,14,Morning,SKU_320,569
ORD_00009,14,Morning,SKU_156,426
ORD_00010,30,Afternoon,SKU_290,1422
ORD_00010,30,Afternoon,SKU_463,377
ORD_00010,30,Afternoon,SKU_061,1027
ORD_00010,30,Afternoon,SKU_108,707
ORD_00011,21,Morning,SKU_360,329
ORD_00011,21,Morning,SKU_481,229
ORD_00011,21,Morning,SKU_370,570
ORD_00011,21,Morning,SKU_131,392
ORD_00011,21,Morning,SKU_409,285
ORD_00011,21,Morning,SKU_363,326
ORD_00012,25,Morning,SKU_441,227
ORD_00012,25,Morning,SKU_105,155
ORD_00012,25,Morning,SKU_480,468
ORD_00012,25,Morning,SKU_491,144
ORD_00012,25,Morning,SKU_388,467
ORD_00012,25,Morning,SKU_342,369
ORD_00012,25,Morning,SKU_286,469
ORD_00013,25,Afternoon,SKU_176,161
ORD_00013,25,Afternoon,SKU_039,122
ORD_00013,25,Afternoon,SKU_446,342
ORD_00013,25,Afternoon,SKU_109,422
ORD_00013,25,Afternoon,SKU_324,505
ORD_00013,25,Afternoon,SKU_100,109
ORD_00013,25,Afternoon,SKU_168,115
ORD_00014,11,Afternoon,SKU_089,426
ORD_00014,11,Afternoon,SKU_313,606
ORD_00014,11,Afternoon,SKU_052,569
ORD_00014,11,Afternoon,SKU_354,790
ORD_00014,11,Afternoon,SKU_046,449
ORD_00015,21,Afternoon,SKU_481,941
ORD_00015,21,Afternoon,SKU_080,1185
ORD_00016,18,Morning,SKU_293,465
ORD_00017,17,Afternoon,SKU_021,514
ORD_00017,17,Afternoon,SKU_288,637
ORD_00017,17,Afternoon,SKU_378,301
ORD_00017,17,Afternoon,SKU_110,139
ORD_00017,17,Afternoon,SKU_091,359
ORD_00017,17,Afternoon,SKU_205,105
ORD_00017,17,Afternoon,SKU_308,154
ORD_00017,17,Afternoon,SKU_374,54
ORD_00018,8,Afternoon,SKU_430,554
ORD_00018,8,Afternoon,SKU_192,72
ORD_00018,8,Afternoon,SKU_021,163
ORD_00018,8,Afternoon,SKU_115,379
ORD_00018,8,Afternoon,SKU_379,571
ORD_00018,8,Afternoon,SKU_028,501
ORD_00019,1,Afternoon,SKU_491,691
ORD_00019,1,Afternoon,SKU_463,434
ORD_00019,1,Afternoon,SKU_324,697
ORD_00019,1,Afternoon,SKU_085,918
ORD_00020,26,Morning,SKU_404,710
ORD_00020,26,Morning,SKU_297,357
ORD_00021,11,Morning,SKU_052,831
ORD_00021,11,Morning,SKU_004,164
ORD_00022,29,Afternoon,SKU_256,442
ORD_00022,29,Afternoon,SKU_068,118
ORD_00022,29,Afternoon,SKU_115,237
ORD_00022,29,Afternoon,SKU_352,321
ORD_00022,29,Afternoon,SKU_378,487
ORD_00022,29,Afternoon,SKU_470,462
ORD_00022,29,Afternoon,SKU_123,119
ORD_00023,6,Afternoon,SKU_405,314
ORD_00023,6,Afternoon,SKU_040,725
ORD_00023,6,Afternoon,SKU_326,115
ORD_00023,6,Afternoon,SKU_426,401
ORD_00023,6,Afternoon,SKU_174,486
ORD_00023,6,Afternoon,SKU_418,751
ORD_00024,8,Morning,SKU_041,548
ORD_00024,8,Morning,SKU_480,808
ORD_00024,8,Morning,SKU_087,266
ORD_00024,8,Morning,SKU_040,761
ORD_00024,8,Morning,SKU_014,155
ORD_00024,8,Morning,SKU_422,148
ORD_00025,25,Morning,SKU_459,282
ORD_00025,25,Morning,SKU_469,1100
ORD_00025,25,Morning,SKU_017,649
ORD_00025,25,Morning,SKU_027,224
ORD_00025,25,Morning,SKU_433,346
ORD_00026,28,Morning,SKU_070,314
ORD_00026,28,Morning,SKU_244,974
ORD_00026,28,Morning,SKU_062,411
ORD_00026,28,Morning,SKU_470,93
ORD_00026,28,Morning,SKU_069,553
ORD_00026,28,Morning,SKU_083,127
ORD_00026,28,Morning,SKU_125,60
ORD_00026,28,Morning,SKU_462,233
ORD_00027,15,Afternoon,SKU_253,257
ORD_00027,15,Afternoon,SKU_373,746
ORD_00027,15,Afternoon,SKU_094,442
ORD_00027,15,Afternoon,SKU_041,290
ORD_00027,15,Afternoon,SKU_448,536
ORD_00028,11,Afternoon,SKU_049,1140
ORD_00028,11,Afternoon,SKU_378,525
ORD_00028,11,Afternoon,SKU_077,105
ORD_00028,11,Afternoon,SKU_384,742
ORD_00028,11,Afternoon,SKU_473,206
ORD_00028,11,Afternoon,SKU_041,265
ORD_00029,18,Afternoon,SKU_327,764
ORD_00029,18,Afternoon,SKU_251,538
ORD_00029,18,Afternoon,SKU_374,545
ORD_00029,18,Afternoon,SKU_262,441
ORD_00030,21,Afternoon,SKU_130,603
ORD_00030,21,Afternoon,SKU_463,600
ORD_00031,11,Morning,SKU_381,261
ORD_00031,11,Morning,SKU_353,576
ORD_00031,11,Morning,SKU_412,195
ORD_00031,11,Morning,SKU_212,288
ORD_00031,11,Morning,SKU_445,269
ORD_00031,11,Morning,SKU_087,290
ORD_00031,11,Morning,SKU_217,463
ORD_00031,11,Morning,SKU_262,740
ORD_00032,16,Afternoon,SKU_497,678
ORD_00032,16,Afternoon,SKU_223,1071
ORD_00032,16,Afternoon,SKU_375,609
ORD_00033,20,Morning,SKU_168,833
ORD_00033,20,Morning,SKU_495,306
ORD_00033,20,Morning,SKU_059,218
ORD_00033,20,Morning,SKU_475,168
ORD_00033,20,Morning,SKU_288,146
ORD_00033,20,Morning,SKU_263,824
ORD_00034,8,Afternoon,SKU_441,593
ORD_00034,8,Afternoon,SKU_074,201
ORD_00034,8,Afternoon,SKU_369,255
ORD_00034,8,Afternoon,SKU_358,779
ORD_00034,8,Afternoon,SKU_081,436
ORD_00035,19,Afternoon,SKU_024,910
ORD_00035,19,Afternoon,SKU_115,486
ORD_00035,19,Afternoon,SKU_186,187
ORD_00035,19,Afternoon,SKU_319,234
ORD_00035,19,Afternoon,SKU_376,73
ORD_00035,19,Afternoon,SKU_047,381
ORD_00036,10,Afternoon,SKU_037,549
ORD_00037,4,Afternoon,SKU_037,847
ORD_00037,4,Afternoon,SKU_311,819
ORD_00037,4,Afternoon,SKU_026,194
ORD_00037,4,Afternoon,SKU_195,479
ORD_00037,4,Afternoon,SKU_010,304
ORD_00038,28,Afternoon,SKU_108,275
ORD_00038,28,Afternoon,SKU_194,1025
ORD_00038,28,Afternoon,SKU_302,228
ORD_00038,28,Afternoon,SKU_068,711
ORD_00038,28,Afternoon,SKU_256,126
ORD_00038,28,Afternoon,SKU_169,284
ORD_00039,9,Afternoon,SKU_134,930
ORD_00039,9,Afternoon,SKU_495,440
ORD_00039,9,Afternoon,SKU_105,679
ORD_00039,9,Afternoon,SKU_447,437
ORD_00039,9,Afternoon,SKU_027,467
ORD_00040,27,Afternoon,SKU_353,235
ORD_00040,27,Afternoon,SKU_375,676
ORD_00040,27,Afternoon,SKU_412,540
ORD_00040,27,Afternoon,SKU_448,296
ORD_00041,9,Morning,SKU_480,844
ORD_00041,9,Morning,SKU_324,160
ORD_00041,9,Morning,SKU_243,655
ORD_00042,14,Morning,SKU_162,1129
ORD_00042,14,Morning,SKU_363,74
ORD_00042,14,Morning,SKU_369,462
ORD_00042,14,Morning,SKU_015,417
ORD_00042,14,Morning,SKU_405,160
ORD_00042,14,Morning,SKU_093,87
ORD_00043,19,Afternoon,SKU_001,984
ORD_00043,19,Afternoon,SKU_272,211
ORD_00043,19,Afternoon,SKU_111,759
ORD_00044,13,Morning,SKU_407,736
ORD_00044,13,Morning,SKU_264,586
ORD_00044,13,Morning,SKU_176,253
ORD_00044,13,Morning,SKU_446,359
ORD_00044,13,Morning,SKU_473,154
ORD_00044,13,Morning,SKU_232,287
ORD_00045,23,Afternoon,SKU_375,178
ORD_00045,23,Afternoon,SKU_048,540
ORD_00045,23,Afternoon,SKU_318,855
ORD_00045,23,Afternoon,SKU_280,761
ORD_00045,23,Afternoon,SKU_169,845
ORD_00046,24,Afternoon,SKU_105,840
ORD_00046,24,Afternoon,SKU_311,924
ORD_00046,24,Afternoon,SKU_324,874
ORD_00046,24,Afternoon,SKU_100,244
ORD_00047,21,Afternoon,SKU_296,188
ORD_00047,21,Afternoon,SKU_174,132
ORD_00047,21,Afternoon,SKU_120,1131
ORD_00048,18,Afternoon,SKU_415,226
ORD_00048,18,Afternoon,SKU_010,624
ORD_00048,18,Afternoon,SKU_243,185
ORD_00048,18,Afternoon,SKU_064,239
ORD_00048,18,Afternoon,SKU_223,681
ORD_00048,18,Afternoon,SKU_354,612
ORD_00049,21,Morning,SKU_386,477
ORD_00049,21,Morning,SKU_125,345
ORD_00049,21,Morning,SKU_393,364
ORD_00049,21,Morning,SKU_168,387
ORD_00049,21,Morning,SKU_021,231
ORD_00049,21,Morning,SKU_327,486
ORD_00050,2,Morning,SKU_478,407
ORD_00050,2,Morning,SKU_375,378
ORD_00051,15,Morning,SKU_384,591
ORD_00051,15,Morning,SKU_187,652
ORD_00051,15,Morning,SKU_255,736
ORD_00051,15,Morning,SKU_354,159
ORD_00051,15,Morning,SKU_327,222
ORD_00051,15,Morning,SKU_021,316
ORD_00052,22,Afternoon,SKU_375,621
ORD_00052,22,Afternoon,SKU_384,845
ORD_00053,10,Afternoon,SKU_414,135
ORD_00053,10,Afternoon,SKU_017,672
ORD_00053,10,Afternoon,SKU_335,307
ORD_00053,10,Afternoon,SKU_090,82
ORD_00053,10,Afternoon,SKU_359,219
ORD_00053,10,Afternoon,SKU_312,907
ORD_00054,5,Morning,SKU_186,54
ORD_00054,5,Morning,SKU_388,741
ORD_00054,5,Morning,SKU_105,359
ORD_00054,5,Morning,SKU_001,894
ORD_00054,5,Morning,SKU_403,444
ORD_00055,22,Morning,SKU_084,354
ORD_00055,22,Morning,SKU_217,1219
ORD_00055,22,Morning,SKU_093,274
ORD_00055,22,Morning,SKU_352,548
ORD_00055,22,Morning,SKU_079,170
ORD_00055,22,Morning,SKU_304,488
ORD_00056,13,Morning,SKU_378,510
ORD_00057,17,Afternoon,SKU_415,531
ORD_00057,17,Afternoon,SKU_294,299
ORD_00057,17,Afternoon,SKU_408,438
ORD_00057,17,Afternoon,SKU_469,708
ORD_00058,6,Afternoon,SKU_455,500
ORD_00058,6,Afternoon,SKU_097,135
ORD_00058,6,Afternoon,SKU_175,828
ORD_00058,6,Afternoon,SKU_004,588
ORD_00058,6,Afternoon,SKU_091,367
ORD_00058,6,Afternoon,SKU_118,368
ORD_00059,14,Afternoon,SKU_259,658
ORD_00059,14,Afternoon,SKU_354,153
ORD_00059,14,Afternoon,SKU_303,237
ORD_00059,14,Afternoon,SKU_447,874
ORD_00059,14,Afternoon,SKU_229,303
ORD_00059,14,Afternoon,SKU_251,233
ORD_00059,14,Afternoon,SKU_015,158
ORD_00059,14,Afternoon,SKU_255,236
ORD_00060,5,Afternoon,SKU_159,127
ORD_00060,5,Afternoon,SKU_174,568
ORD_00060,5,Afternoon,SKU_037,186
ORD_00060,5,Afternoon,SKU_059,363
ORD_00060,5,Afternoon,SKU_475,528
ORD_00060,5,Afternoon,SKU_070,193
ORD_00061,5,Morning,SKU_014,587
ORD_00061,5,Morning,SKU_320,1325
ORD_00061,5,Morning,SKU_279,818
ORD_00061,5,Morning,SKU_326,72
ORD_00061,5,Morning,SKU_213,91
ORD_00061,5,Morning,SKU_243,184
ORD_00062,10,Morning,SKU_478,186
ORD_00062,10,Morning,SKU_223,1034
ORD_00062,10,Morning,SKU_326,566
ORD_00062,10,Morning,SKU_363,280
ORD_00062,10,Morning,SKU_293,196
ORD_00063,26,Morning,SKU_297,362
ORD_00063,26,Morning,SKU_255,1061
ORD_00063,26,Morning,SKU_037,307
ORD_00063,26,Morning,SKU_488,330
ORD_00064,16,Afternoon,SKU_342,57
ORD_00064,16,Afternoon,SKU_335,109
ORD_00064,16,Afternoon,SKU_011,577
ORD_00064,16,Afternoon,SKU_404,681
ORD_00065,5,Morning,SKU_386,588
ORD_00065,5,Morning,SKU_384,720
ORD_00065,5,Morning,SKU_018,412
ORD_00065,5,Morning,SKU_291,653
ORD_00066,30,Afternoon,SKU_360,472
ORD_00066,30,Afternoon,SKU_345,305
ORD_00066,30,Afternoon,SKU_328,1023
ORD_00066,30,Afternoon,SKU_104,242
ORD_00066,30,Afternoon,SKU_441,680
ORD_00067,24,Morning,SKU_410,291
ORD_00067,24,Morning,SKU_217,624
ORD_00067,24,Morning,SKU_067,217
ORD_00068,23,Morning,SKU_352,855
ORD_00068,23,Morning,SKU_119,305
ORD_00068,23,Morning,SKU_021,554
ORD_00068,23,Morning,SKU_317,83
ORD_00069,15,Afternoon,SKU_111,891
ORD_00069,15,Afternoon,SKU_324,873
ORD_00069,15,Afternoon,SKU_280,214
ORD_00069,15,Afternoon,SKU_007,205
ORD_00069,15,Afternoon,SKU_473,162
ORD_00069,15,Afternoon,SKU_447,634
ORD_00069,15,Afternoon,SKU_052,192
ORD_00070,6,Afternoon,SKU_242,87
ORD_00070,6,Afternoon,SKU_046,299
ORD_00070,6,Afternoon,SKU_052,887
ORD_00070,6,Afternoon,SKU_108,94
ORD_00070,6,Afternoon,SKU_451,583
ORD_00070,6,Afternoon,SKU_144,488
ORD_00071,2,Morning,SKU_244,1259
ORD_00071,2,Morning,SKU_122,481
ORD_00071,2,Morning,SKU_373,998
ORD_00071,2,Morning,SKU_250,1512
ORD_00072,4,Afternoon,SKU_059,187
ORD_00072,4,Afternoon,SKU_322,254
ORD_00072,4,Afternoon,SKU_100,122
ORD_00072,4,Afternoon,SKU_153,233
ORD_00072,4,Afternoon,SKU_017,552
ORD_00073,1,Afternoon,SKU_232,191
ORD_00073,1,Afternoon,SKU_205,285
ORD_00073,1,Afternoon,SKU_225,277
ORD_00074,3,Morning,SKU_305,911
ORD_00074,3,Morning,SKU_469,609
ORD_00074,3,Morning,SKU_284,283
ORD_00075,9,Afternoon,SKU_008,280
ORD_00075,9,Afternoon,SKU_376,351
ORD_00075,9,Afternoon,SKU_186,101
ORD_00075,9,Afternoon,SKU_313,212
ORD_00075,9,Afternoon,SKU_097,126
ORD_00075,9,Afternoon,SKU_480,326
ORD_00075,9,Afternoon,SKU_286,300
ORD_00075,9,Afternoon,SKU_100,453
ORD_00076,1,Afternoon,SKU_316,856
ORD_00076,1,Afternoon,SKU_380,361
ORD_00076,1,Afternoon,SKU_008,593
ORD_00076,1,Afternoon,SKU_447,943
ORD_00077,17,Afternoon,SKU_181,833
ORD_00077,17,Afternoon,SKU_406,547
ORD_00077,17,Afternoon,SKU_070,574
ORD_00077,17,Afternoon,SKU_423,187
ORD_00078,26,Morning,SKU_069,376
ORD_00078,26,Morning,SKU_308,911
ORD_00078,26,Morning,SKU_092,1201
ORD_00078,26,Morning,SKU_050,151
ORD_00078,26,Morning,SKU_232,80
ORD_00078,26,Morning,SKU_360,386
ORD_00079,29,Morning,SKU_473,561
ORD_00079,29,Morning,SKU_168,703
ORD_00079,29,Morning,SKU_180,252
ORD_00079,29,Morning,SKU_423,288
ORD_00079,29,Morning,SKU_052,419
ORD_00080,30,Morning,SKU_027,401
ORD_00080,30,Morning,SKU_372,320
ORD_00080,30,Morning,SKU_133,258
ORD_00080,30,Morning,SKU_116,365
ORD_00080,30,Morning,SKU_156,317
ORD_00080,30,Morning,SKU_264,404
ORD_00081,7,Afternoon,SKU_161,425
ORD_00081,7,Afternoon,SKU_372,177
ORD_00081,7,Afternoon,SKU_487,210
ORD_00081,7,Afternoon,SKU_059,353
ORD_00081,7,Afternoon,SKU_326,469
ORD_00081,7,Afternoon,SKU_255,282
ORD_00082,21,Afternoon,SKU_250,163
ORD_00082,21,Afternoon,SKU_490,387
ORD_00082,21,Afternoon,SKU_001,270
ORD_00082,21,Afternoon,SKU_270,418
ORD_00082,21,Afternoon,SKU_015,113
ORD_00082,21,Afternoon,SKU_373,533
ORD_00082,21,Afternoon,SKU_492,215
ORD_00082,21,Afternoon,SKU_228,689
ORD_00082,21,Afternoon,SKU_476,115
ORD_00083,7,Afternoon,SKU_318,166
ORD_00083,7,Afternoon,SKU_014,692
ORD_00083,7,Afternoon,SKU_489,144
ORD_00083,7,Afternoon,SKU_105,852
ORD_00083,7,Afternoon,SKU_226,84
ORD_00083,7,Afternoon,SKU_469,305
ORD_00083,7,Afternoon,SKU_262,384
ORD_00084,10,Morning,SKU_021,426
ORD_00085,6,Morning,SKU_326,524
ORD_00085,6,Morning,SKU_423,85
ORD_00085,6,Morning,SKU_495,689
ORD_00085,6,Morning,SKU_476,1254
ORD_00086,9,Morning,SKU_066,787
ORD_00086,9,Morning,SKU_327,761
ORD_00086,9,Morning,SKU_353,560
ORD_00086,9,Morning,SKU_192,592
ORD_00087,4,Afternoon,SKU_250,1538
ORD_00087,4,Afternoon,SKU_488,461
ORD_00087,4,Afternoon,SKU_041,1114
ORD_00087,4,Afternoon,SKU_258,449
ORD_00088,26,Afternoon,SKU_326,305
ORD_00088,26,Afternoon,SKU_100,168
ORD_00088,26,Afternoon,SKU_281,527
ORD_00088,26,Afternoon,SKU_079,379
